"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvulių ir paukščių rūšys","Matavimo vienetai","Reikšmė"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Lietuvos Respublika","Galvijai, iš viso","vnt.","628705"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Sostinės regionas","Galvijai, iš viso","vnt.","26399"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus apskritis","Galvijai, iš viso","vnt.","26399"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Elektrėnų sav.","Galvijai, iš viso","vnt.","1619"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Šalčininkų r. sav.","Galvijai, iš viso","vnt.","4709"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Širvintų r. sav.","Galvijai, iš viso","vnt.","4201"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Švenčionių r. sav.","Galvijai, iš viso","vnt.","2399"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Trakų r. sav.","Galvijai, iš viso","vnt.","1997"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Ukmergės r. sav.","Galvijai, iš viso","vnt.","8240"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus m. sav.","Galvijai, iš viso","vnt.","38"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus r. sav.","Galvijai, iš viso","vnt.","3196"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Galvijai, iš viso","vnt.","602306"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus apskritis","Galvijai, iš viso","vnt.","33782"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus m. sav.","Galvijai, iš viso","vnt.","4"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus r. sav.","Galvijai, iš viso","vnt.","14638"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Druskininkų sav.","Galvijai, iš viso","vnt.","813"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Lazdijų r. sav.","Galvijai, iš viso","vnt.","14573"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Varėnos r. sav.","Galvijai, iš viso","vnt.","3754"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Kauno apskritis","Galvijai, iš viso","vnt.","69766"
"2022","Gyvulių ir paukščių skaičius metų pradžioje","Birštono sav.","Galvijai, iš viso","vnt.","465"
