"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvulių ir paukščių rūšys","Matavimo vienetai","Reikšmė"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Lietuvos Respublika","Galvijai, iš viso","vnt.","629505"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Sostinės regionas","Galvijai, iš viso","vnt.","25867"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus apskritis","Galvijai, iš viso","vnt.","25867"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Elektrėnų sav.","Galvijai, iš viso","vnt.","1503"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Šalčininkų r. sav.","Galvijai, iš viso","vnt.","5242"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Širvintų r. sav.","Galvijai, iš viso","vnt.","3937"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Švenčionių r. sav.","Galvijai, iš viso","vnt.","2396"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Trakų r. sav.","Galvijai, iš viso","vnt.","1971"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Ukmergės r. sav.","Galvijai, iš viso","vnt.","7585"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus m. sav.","Galvijai, iš viso","vnt.","65"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus r. sav.","Galvijai, iš viso","vnt.","3168"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Galvijai, iš viso","vnt.","603638"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus apskritis","Galvijai, iš viso","vnt.","33727"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus m. sav.","Galvijai, iš viso","vnt.","5"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus r. sav.","Galvijai, iš viso","vnt.","15093"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Druskininkų sav.","Galvijai, iš viso","vnt.","854"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Lazdijų r. sav.","Galvijai, iš viso","vnt.","14078"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Varėnos r. sav.","Galvijai, iš viso","vnt.","3697"
"2021","Gyvulių ir paukščių skaičius metų pradžioje","Kauno apskritis","Galvijai, iš viso","vnt.","71668"
