"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvulių ir paukščių rūšys","Matavimo vienetai","Reikšmė"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Lietuvos Respublika","Galvijai, iš viso","vnt.","634582"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Sostinės regionas","Galvijai, iš viso","vnt.","25537"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus apskritis","Galvijai, iš viso","vnt.","25537"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Elektrėnų sav.","Galvijai, iš viso","vnt.","1317"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Šalčininkų r. sav.","Galvijai, iš viso","vnt.","5208"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Širvintų r. sav.","Galvijai, iš viso","vnt.","3868"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Švenčionių r. sav.","Galvijai, iš viso","vnt.","2415"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Trakų r. sav.","Galvijai, iš viso","vnt.","1969"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Ukmergės r. sav.","Galvijai, iš viso","vnt.","7372"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus m. sav.","Galvijai, iš viso","vnt.","80"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus r. sav.","Galvijai, iš viso","vnt.","3308"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Galvijai, iš viso","vnt.","609045"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus apskritis","Galvijai, iš viso","vnt.","33935"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus m. sav.","Galvijai, iš viso","vnt.","8"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus r. sav.","Galvijai, iš viso","vnt.","16048"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Druskininkų sav.","Galvijai, iš viso","vnt.","827"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Lazdijų r. sav.","Galvijai, iš viso","vnt.","13402"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Varėnos r. sav.","Galvijai, iš viso","vnt.","3650"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Kauno apskritis","Galvijai, iš viso","vnt.","73778"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Birštono sav.","Galvijai, iš viso","vnt.","583"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Jonavos r. sav.","Galvijai, iš viso","vnt.","5848"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Kaišiadorių r. sav.","Galvijai, iš viso","vnt.","5476"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Kauno m. sav.","Galvijai, iš viso","vnt.","588"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Kauno r. sav.","Galvijai, iš viso","vnt.","12525"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Kėdainių r. sav.","Galvijai, iš viso","vnt.","16845"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Prienų r. sav.","Galvijai, iš viso","vnt.","12428"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Raseinių r. sav.","Galvijai, iš viso","vnt.","19485"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Klaipėdos apskritis","Galvijai, iš viso","vnt.","80454"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Klaipėdos m. sav.","Galvijai, iš viso","vnt.","4"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Klaipėdos r. sav.","Galvijai, iš viso","vnt.","12697"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Kretingos r. sav.","Galvijai, iš viso","vnt.","7632"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Neringos sav.","Galvijai, iš viso","vnt.",
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Palangos m. sav.","Galvijai, iš viso","vnt.","25"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Skuodo r. sav.","Galvijai, iš viso","vnt.","22703"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Šilutės r. sav.","Galvijai, iš viso","vnt.","37393"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Marijampolės apskritis","Galvijai, iš viso","vnt.","63964"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Kalvarijos sav.","Galvijai, iš viso","vnt.","8595"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Kazlų Rūdos sav.","Galvijai, iš viso","vnt.","3812"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Marijampolės sav.","Galvijai, iš viso","vnt.","15683"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Marijampolės r. sav.","Galvijai, iš viso","vnt.",
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Šakių r. sav.","Galvijai, iš viso","vnt.","22060"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Vilkaviškio r. sav.","Galvijai, iš viso","vnt.","13814"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Panevėžio apskritis","Galvijai, iš viso","vnt.","68921"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Biržų r. sav.","Galvijai, iš viso","vnt.","12650"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Kupiškio r. sav.","Galvijai, iš viso","vnt.","8451"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Panevėžio m. sav.","Galvijai, iš viso","vnt.",
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Panevėžio r. sav.","Galvijai, iš viso","vnt.","18242"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Pasvalio r. sav.","Galvijai, iš viso","vnt.","20002"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Rokiškio r. sav.","Galvijai, iš viso","vnt.","9576"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Šiaulių apskritis","Galvijai, iš viso","vnt.","84771"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Akmenės r. sav.","Galvijai, iš viso","vnt.","3808"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Joniškio r. sav.","Galvijai, iš viso","vnt.","8776"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Kelmės r. sav.","Galvijai, iš viso","vnt.","25470"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Pakruojo r. sav.","Galvijai, iš viso","vnt.","18320"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Radviliškio r. sav.","Galvijai, iš viso","vnt.","14459"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Šiaulių m. sav.","Galvijai, iš viso","vnt.","17"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Šiaulių r. sav.","Galvijai, iš viso","vnt.","13921"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Tauragės apskritis","Galvijai, iš viso","vnt.","93661"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Jurbarko r. sav.","Galvijai, iš viso","vnt.","12553"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Pagėgių sav.","Galvijai, iš viso","vnt.","17838"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Šilalės r. sav.","Galvijai, iš viso","vnt.","40655"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Tauragės r. sav.","Galvijai, iš viso","vnt.","22615"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Telšių apskritis","Galvijai, iš viso","vnt.","67476"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Mažeikių r. sav.","Galvijai, iš viso","vnt.","10959"
"2020","Gyvulių ir paukščių skaičius metų pradžioje","Plungės r. sav.","Galvijai, iš viso","vnt.","23507"
