"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvulių ir paukščių rūšys","Matavimo vienetai","Reikšmė"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Lietuvos Respublika","Galvijai, iš viso","vnt.","623522"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Sostinės regionas","Galvijai, iš viso","vnt.","26874"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus apskritis","Galvijai, iš viso","vnt.","26874"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Elektrėnų sav.","Galvijai, iš viso","vnt.","1703"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Šalčininkų r. sav.","Galvijai, iš viso","vnt.","5017"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Širvintų r. sav.","Galvijai, iš viso","vnt.","4373"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Švenčionių r. sav.","Galvijai, iš viso","vnt.","3012"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Trakų r. sav.","Galvijai, iš viso","vnt.","1773"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Ukmergės r. sav.","Galvijai, iš viso","vnt.","7787"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus m. sav.","Galvijai, iš viso","vnt.","38"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Vilniaus r. sav.","Galvijai, iš viso","vnt.","3171"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Galvijai, iš viso","vnt.","596648"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus apskritis","Galvijai, iš viso","vnt.","36827"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus m. sav.","Galvijai, iš viso","vnt.","3"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Alytaus r. sav.","Galvijai, iš viso","vnt.","15485"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Druskininkų sav.","Galvijai, iš viso","vnt.","1035"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Lazdijų r. sav.","Galvijai, iš viso","vnt.","16200"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Varėnos r. sav.","Galvijai, iš viso","vnt.","4104"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Kauno apskritis","Galvijai, iš viso","vnt.","67392"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Birštono sav.","Galvijai, iš viso","vnt.","575"
"2024","Gyvulių ir paukščių skaičius metų pradžioje","Jonavos r. sav.","Galvijai, iš viso","vnt.","5530"
